race_id,race_title,race_date,着順,馬番,馬名,コーナー通過順,上がり3F,単勝オッズ,複勝配当,条件1,条件2,仮説フラグ
202505010104,3歳1勝クラス,2025/02/01,13,1,アリオーンスマイル,10-12,39.0,597.7,0,False,False,False
202505010105,3歳新馬,2025/02/01,1,8,マテンロウバローズ,4-5,34.7,4.2,150,False,False,False
202505010105,3歳新馬,2025/02/01,2,15,セゾンデフィーユ,7-7,34.6,2.5,130,False,False,False
202505010105,3歳新馬,2025/02/01,3,7,ヴノ,4-3,35.1,10.3,210,False,False,False
202505010105,3歳新馬,2025/02/01,4,4,タカミノガコイ,14-13,34.1,51.7,0,False,False,False
202505010105,3歳新馬,2025/02/01,5,2,ヨカゼ,2-2,35.9,61.1,0,False,False,False
202505010105,3歳新馬,2025/02/01,6,10,ペイシャヴァルワン,8-7,35.4,169.4,0,False,False,False
202505010105,3歳新馬,2025/02/01,7,1,ピースフルゴールド,1-1,36.2,7.8,0,False,False,False
202505010105,3歳新馬,2025/02/01,8,6,ワカムシャ,2-3,35.9,20.0,0,False,False,False
202505010105,3歳新馬,2025/02/01,9,13,ダノンブロッサム,13-12,34.5,5.2,0,False,False,False
202505010105,3歳新馬,2025/02/01,10,14,インマイハート,4-5,36.3,55.0,0,False,False,False
202505010105,3歳新馬,2025/02/01,11,11,カールルイコ,11-11,35.3,147.8,0,False,False,False
202505010105,3歳新馬,2025/02/01,12,5,ファイアーレッド,15-15,35.0,46.3,0,False,False,False
202505010105,3歳新馬,2025/02/01,13,3,ジャヴェール,9-9,36.3,170.8,0,False,False,False
202505010105,3歳新馬,2025/02/01,14,12,ヴェントドーロ,15-15,35.1,151.7,0,False,False,False
202505010105,3歳新馬,2025/02/01,15,16,アスクガンバーレ,12-14,36.4,17.8,0,False,False,False
202505010105,3歳新馬,2025/02/01,16,9,アンスリウムリリー,9-9,37.6,180.0,0,False,False,False
202505010106,3歳未勝利,2025/02/01,1,4,タイセイプランセス,2-2-2,34.0,12.1,320,False,True,False
202505010106,3歳未勝利,2025/02/01,2,12,オプレントジュエル,8-8-7,33.6,3.5,170,False,False,False
202505010106,3歳未勝利,2025/02/01,3,7,カフェロワドール,1-1-1,34.3,18.4,410,False,True,False
202505010106,3歳未勝利,2025/02/01,4,14,マキャベリー,2-2-3,34.1,12.0,0,True,False,False
